Education,Experience,Location,Job_Title,Age,Gender,Salary
High School,14,Urban,Analyst,61,Female,75559.24411372501
High School,7,Urban,Director,21,Male,85397.13779571372
Master,11,Rural,Director,22,Female,112787.3492558224
PhD,4,Suburban,Analyst,60,Female,107455.1349481504
Bachelor,17,Rural,Manager,63,Female,108464.32013867843
High School,21,Rural,Manager,58,Male,70708.87031700685
PhD,14,Suburban,Analyst,22,Female,136466.95140894435
High School,5,Rural,Manager,45,Male,66983.27059355342
Master,24,Suburban,Director,47,Male,139341.89767415726
PhD,5,Rural,Director,60,Male,126484.77415596208
High School,13,Suburban,Manager,21,Female,88374.4479673091
PhD,5,Suburban,Director,37,Female,145434.53439582724
Master,11,Suburban,Director,62,Male,110485.5886176369
Bachelor,19,Suburban,Analyst,59,Male,84101.852687414
High School,2,Suburban,Manager,41,Female,80968.49087631401
PhD,15,Rural,Manager,39,Male,131229.4879372722
Master,11,Rural,Analyst,52,Female,112833.67281239793
High School,8,Urban,Analyst,58,Male,69941.28708137886
Bachelor,29,Suburban,Manager,52,Male,97354.26749032356
Bachelor,8,Suburban,Analyst,32,Male,68217.7938380033
PhD,5,Suburban,Manager,23,Female,127759.07632937071
Master,7,Suburban,Director,45,Female,137105.24731983276
Master,29,Suburban,Engineer,50,Female,118282.8096652156
PhD,22,Rural,Manager,64,Male,164542.83698804962
Master,2,Urban,Director,39,Male,129257.55344191214
Bachelor,28,Suburban,Manager,61,Female,97800.25540414132
Bachelor,24,Urban,Director,27,Male,117826.5765344791
Bachelor,12,Rural,Manager,34,Male,101663.05778970802
High School,28,Rural,Director,42,Female,99434.6392807138
PhD,28,Urban,Engineer,23,Female,148023.53264490823
High School,20,Suburban,Director,45,Female,103997.30812571551
Master,19,Urban,Director,40,Female,140086.47124713028
PhD,22,Urban,Analyst,25,Female,149741.55027515185
PhD,28,Urban,Manager,37,Female,157707.05596425082
High School,13,Urban,Analyst,20,Male,73043.43575162995
High School,3,Urban,Analyst,63,Female,57615.23341761047
PhD,18,Suburban,Manager,29,Female,139034.76260983682
High School,9,Suburban,Director,62,Male,93448.60001993066
Master,11,Suburban,Director,52,Male,118732.87974017202
PhD,3,Rural,Director,33,Female,118165.08446631998
High School,29,Rural,Director,45,Male,96834.67128150172
Master,9,Suburban,Analyst,41,Male,112257.07959324372
High School,7,Urban,Engineer,36,Female,54711.0480306511
High School,2,Urban,Engineer,52,Male,50442.07521036797
PhD,5,Urban,Manager,41,Male,154677.29682143047
High School,13,Suburban,Director,37,Female,103723.30317535224
High School,19,Urban,Director,50,Male,99640.24197906828
High School,7,Urban,Engineer,36,Male,58008.87061573461
Bachelor,6,Rural,Analyst,54,Male,59734.10574128003
Master,12,Suburban,Engineer,54,Female,119412.99220315993
High School,6,Urban,Engineer,24,Female,60637.29855913215
High School,6,Rural,Manager,52,Male,55762.98547599145
High School,3,Rural,Manager,42,Male,75312.53559593308
High School,1,Urban,Analyst,56,Male,65965.08051066907
Master,16,Urban,Director,24,Female,145378.91372069393
Master,14,Urban,Analyst,42,Male,111516.30248819893
Bachelor,1,Suburban,Manager,41,Female,77209.03987733739
PhD,6,Rural,Analyst,54,Female,115249.02672349873
PhD,19,Suburban,Engineer,20,Female,130113.57026527364
PhD,19,Rural,Director,27,Female,156312.9362084037
Bachelor,4,Urban,Manager,23,Male,95820.99778809566
Master,8,Suburban,Analyst,59,Male,88909.6767374791
PhD,23,Urban,Manager,23,Male,163104.2755312551
PhD,28,Rural,Manager,58,Female,133976.69467114715
Bachelor,29,Urban,Director,24,Male,117235.26845638917
Master,6,Urban,Manager,57,Male,118098.06930900912
High School,8,Suburban,Manager,55,Female,71257.07865933598
Bachelor,8,Rural,Director,60,Male,94565.82135917408
High School,2,Rural,Manager,64,Male,66182.03348653117
High School,28,Rural,Manager,63,Female,79527.8982204147
PhD,5,Rural,Manager,28,Female,115015.15355069588
PhD,29,Urban,Director,63,Male,155079.84083441965
PhD,13,Rural,Analyst,21,Female,119967.70090087356
PhD,16,Suburban,Director,56,Female,147712.72307263393
Bachelor,10,Rural,Director,56,Male,74247.97373230735
PhD,14,Urban,Analyst,58,Female,133339.3896823029
High School,29,Urban,Engineer,52,Female,94614.49909551127
PhD,29,Urban,Director,56,Male,186452.8457268759
PhD,27,Suburban,Director,58,Male,156729.08389775958
Bachelor,20,Urban,Analyst,60,Female,94528.34132346758
High School,16,Suburban,Manager,37,Female,60167.65498087052
PhD,26,Rural,Analyst,38,Male,132986.72970149666
High School,16,Urban,Analyst,51,Female,84841.8672458082
PhD,27,Urban,Analyst,63,Male,132494.82054555468
PhD,17,Urban,Director,50,Male,171403.03641017622
PhD,19,Urban,Director,60,Female,155047.7793414994
Bachelor,5,Urban,Director,31,Male,121616.51861184771
High School,22,Rural,Analyst,64,Female,61210.57648608133
Master,24,Rural,Analyst,21,Male,107105.8207118821
Master,1,Rural,Manager,59,Male,84075.94262943542
Bachelor,20,Urban,Director,28,Female,118246.33644902532
Master,6,Suburban,Director,40,Male,117911.9709065475
PhD,3,Urban,Analyst,34,Male,128521.5347683867
High School,29,Suburban,Director,31,Female,100232.15890892466
High School,23,Suburban,Director,40,Male,103555.45603070543
PhD,26,Urban,Director,24,Male,167570.6946285781
High School,9,Rural,Manager,42,Female,89782.29962808275
Master,11,Rural,Engineer,29,Female,89616.76041784984
PhD,13,Suburban,Director,49,Female,148707.74075900653
PhD,12,Rural,Manager,38,Female,130504.10498333003
Bachelor,20,Suburban,Director,59,Female,118490.03562090176
PhD,20,Urban,Director,35,Female,161398.26597767652
High School,28,Suburban,Analyst,50,Female,61353.01960611086
High School,2,Urban,Engineer,38,Male,61089.67332142195
PhD,1,Rural,Manager,26,Female,121281.69873189996
PhD,5,Urban,Director,45,Female,127277.6888001958
PhD,6,Urban,Analyst,31,Male,106202.04384675653
Bachelor,20,Urban,Engineer,51,Male,97076.61324148857
High School,2,Urban,Engineer,54,Female,52264.71239826344
Bachelor,7,Rural,Director,34,Female,100429.76537866936
High School,13,Rural,Director,30,Male,73669.22159105899
High School,5,Rural,Engineer,59,Female,50604.16449520506
PhD,25,Suburban,Manager,62,Male,154646.42398866065
High School,5,Urban,Analyst,39,Male,62396.23914089497
Bachelor,7,Rural,Director,64,Female,97139.84534859276
PhD,2,Suburban,Engineer,20,Male,110873.6143963144
Bachelor,16,Rural,Manager,28,Female,87924.45958450134
Bachelor,14,Rural,Engineer,33,Female,77149.03019668574
PhD,25,Suburban,Engineer,37,Female,149072.04868183247
High School,4,Rural,Analyst,29,Female,58903.22810655946
Master,17,Rural,Manager,62,Female,136608.8081251391
Bachelor,3,Urban,Manager,30,Male,101655.25190671264
PhD,21,Rural,Analyst,24,Male,104518.81521769102
PhD,26,Rural,Engineer,46,Female,135543.85717225142
High School,15,Rural,Director,49,Male,93338.51221753072
PhD,1,Urban,Director,43,Male,129475.842710405
Bachelor,23,Rural,Engineer,27,Female,88189.55978005964
Master,24,Suburban,Director,27,Male,142882.8881396824
Bachelor,10,Rural,Analyst,29,Male,74897.08683666281
Master,10,Rural,Engineer,49,Male,102744.16995282008
Bachelor,14,Urban,Analyst,44,Male,91310.18682217276
Master,2,Suburban,Engineer,52,Male,83967.79917321586
High School,20,Urban,Engineer,55,Female,74842.43454714648
High School,10,Urban,Manager,61,Female,83719.55551564979
High School,8,Urban,Manager,63,Male,84620.05366451902
PhD,2,Rural,Analyst,59,Male,97925.34018579702
Bachelor,18,Suburban,Manager,23,Female,103473.04500041057
High School,18,Urban,Manager,33,Female,96893.75908155256
Bachelor,28,Urban,Director,36,Male,130113.23027609976
High School,4,Urban,Director,23,Male,94857.97224705933
PhD,8,Suburban,Analyst,35,Female,123610.02888497636
PhD,27,Urban,Manager,41,Male,159035.39700404613
PhD,6,Rural,Director,22,Male,134263.9176428062
High School,21,Suburban,Analyst,36,Female,79183.53730827161
PhD,22,Suburban,Engineer,27,Male,127751.06926899531
Bachelor,17,Suburban,Analyst,35,Male,98169.9055941535
High School,16,Suburban,Analyst,55,Male,58368.84204654964
Master,17,Urban,Director,27,Male,126430.43232054784
PhD,17,Suburban,Director,30,Male,163022.82564588025
High School,24,Urban,Director,27,Female,113240.20338262782
High School,2,Rural,Analyst,48,Male,70374.09661478276
High School,16,Rural,Manager,52,Male,66620.52404738512
Bachelor,23,Urban,Manager,37,Male,107518.6253221083
High School,25,Urban,Manager,46,Female,74817.18131645783
PhD,7,Rural,Analyst,33,Male,107360.03576669157
PhD,22,Rural,Engineer,45,Male,151013.40051848112
Bachelor,6,Urban,Manager,48,Male,92218.2195310701
PhD,7,Rural,Director,22,Female,140959.76211139612
High School,17,Urban,Director,63,Female,97852.52574570388
Bachelor,28,Suburban,Analyst,24,Male,92774.21458468054
Master,13,Urban,Engineer,62,Female,94710.23364704054
High School,9,Suburban,Manager,48,Male,57865.76988501196
Bachelor,16,Suburban,Analyst,39,Female,81956.47780376
High School,4,Rural,Director,62,Male,68111.86800466156
PhD,8,Rural,Analyst,26,Male,115028.8104444262
Bachelor,5,Rural,Manager,28,Male,90550.47942410434
Master,21,Urban,Director,53,Female,127582.95056575965
PhD,28,Suburban,Manager,45,Male,150828.36884275833
Bachelor,25,Suburban,Engineer,40,Female,111781.89364481598
Bachelor,25,Suburban,Manager,20,Female,98183.68685087073
High School,5,Rural,Manager,23,Female,59366.90640736085
Bachelor,16,Rural,Director,47,Male,106870.0138572766
Bachelor,17,Rural,Director,42,Male,107222.12664516484
Master,20,Suburban,Director,27,Female,143982.40622403615
PhD,4,Rural,Director,60,Female,130567.64945544896
Bachelor,6,Suburban,Analyst,58,Female,72686.91363970499
Bachelor,24,Urban,Analyst,53,Male,106774.33933793784
High School,29,Suburban,Manager,51,Male,90605.4567853522
High School,14,Rural,Director,21,Male,87889.91945003047
Master,17,Rural,Engineer,31,Female,120102.64603383328
Bachelor,20,Urban,Manager,33,Male,120121.68295174788
High School,15,Suburban,Analyst,38,Female,61928.68279841316
PhD,28,Suburban,Director,34,Female,163634.90480386768
High School,12,Rural,Manager,43,Female,74409.96732045121
Master,6,Rural,Analyst,41,Male,77772.66880478204
High School,23,Rural,Analyst,35,Male,61532.07984408598
PhD,17,Urban,Manager,51,Male,144899.99460889792
Bachelor,26,Urban,Manager,58,Female,110750.60577086
Master,19,Suburban,Director,59,Female,128161.59156010325
Bachelor,27,Rural,Manager,21,Female,83930.42234554206
High School,25,Suburban,Manager,27,Female,89427.18800209484
PhD,2,Suburban,Director,31,Female,142122.66726825983
Master,11,Urban,Analyst,40,Male,96863.44359511268
PhD,20,Suburban,Director,56,Female,165810.55944087074
PhD,17,Rural,Director,26,Female,140182.54476292082
PhD,20,Urban,Analyst,59,Male,139655.8919089493
PhD,22,Suburban,Engineer,48,Male,116155.67864638472
PhD,13,Suburban,Director,29,Female,147546.16635853727
Bachelor,6,Suburban,Manager,41,Female,77706.63430665733
Master,18,Rural,Analyst,44,Male,98207.02602445568
High School,21,Urban,Manager,62,Female,89426.94711719434
Master,25,Urban,Director,44,Male,139636.67478801086
PhD,29,Urban,Analyst,32,Male,146650.40602239317
PhD,18,Rural,Director,57,Male,133634.5864073082
Master,5,Suburban,Director,64,Female,120085.54926006313
PhD,5,Rural,Manager,41,Female,124368.70100023596
High School,12,Suburban,Director,56,Male,103104.58978298244
High School,15,Urban,Manager,60,Female,93394.90672317604
Bachelor,19,Suburban,Engineer,24,Male,96598.32495003476
Bachelor,7,Suburban,Manager,33,Female,100882.31990048778
High School,22,Urban,Manager,59,Male,86835.1255805155
Master,24,Rural,Director,29,Male,139267.8170525735
High School,16,Suburban,Director,22,Male,85460.35259209422
Master,2,Urban,Engineer,35,Female,103387.4525129018
PhD,2,Suburban,Analyst,42,Male,123780.31235143372
PhD,7,Suburban,Director,30,Male,143623.63037382034
Master,27,Rural,Manager,59,Male,138404.8842418709
PhD,3,Suburban,Director,54,Male,127440.40640931044
Master,22,Rural,Manager,58,Male,123310.5444921746
Master,17,Suburban,Director,59,Male,133075.1903166543
Master,7,Urban,Director,53,Female,140042.13891849504
Bachelor,29,Suburban,Analyst,33,Male,109106.93715987806
Bachelor,13,Urban,Analyst,61,Male,92303.7888478305
Bachelor,1,Suburban,Engineer,29,Female,57268.803376339936
PhD,5,Suburban,Engineer,40,Male,111874.839538144
High School,19,Rural,Engineer,25,Male,90600.13108370735
Bachelor,16,Rural,Director,36,Female,118098.37222184098
Master,12,Rural,Manager,32,Female,106333.96975362297
High School,5,Suburban,Director,42,Male,84143.06833923951
PhD,25,Suburban,Manager,40,Male,147118.68547273273
PhD,14,Urban,Director,48,Male,152065.3611720965
High School,22,Suburban,Engineer,58,Male,76320.54879609501
High School,24,Urban,Analyst,23,Female,86438.00153765982
Bachelor,12,Rural,Analyst,50,Male,73697.62106735456
PhD,24,Rural,Manager,42,Female,142850.38233722505
High School,11,Urban,Manager,63,Male,55066.114352582896
PhD,6,Suburban,Analyst,25,Female,112071.79396453792
Bachelor,26,Rural,Engineer,59,Male,94996.98297388168
High School,17,Urban,Director,47,Male,112954.0416857619
Master,17,Suburban,Director,62,Female,121074.59185608862
PhD,26,Suburban,Manager,40,Male,149472.05536597915
PhD,22,Urban,Engineer,22,Male,142102.5781695941
Bachelor,1,Urban,Engineer,39,Female,83921.21617950863
Bachelor,28,Urban,Director,31,Female,130676.7089336078
Master,1,Suburban,Manager,21,Male,111214.94241311056
High School,29,Suburban,Manager,51,Female,102641.21331377608
Bachelor,18,Urban,Manager,63,Male,109174.7498798797
Bachelor,1,Rural,Manager,60,Female,90091.88495330968
High School,11,Rural,Analyst,57,Female,68407.26238835322
Master,3,Urban,Director,49,Male,129605.7080804158
High School,18,Rural,Director,24,Female,70229.56393623482
PhD,9,Suburban,Engineer,25,Female,121976.05737138934
Bachelor,29,Suburban,Manager,45,Male,108212.91487003132
Master,4,Suburban,Manager,23,Female,99083.7164162198
High School,17,Suburban,Engineer,46,Male,73532.88469132425
Master,13,Urban,Analyst,48,Female,107650.47977612264
Master,25,Rural,Manager,44,Female,111344.47273079128
High School,19,Rural,Analyst,31,Female,75932.41135968213
Bachelor,10,Suburban,Engineer,20,Male,79937.26466825511
Bachelor,8,Suburban,Director,49,Female,100483.43641053604
High School,13,Suburban,Manager,41,Female,77430.20945022261
High School,17,Urban,Manager,32,Male,80007.84720913025
Master,12,Urban,Manager,20,Male,141967.66001547786
PhD,18,Urban,Director,50,Female,153652.093532501
Master,9,Suburban,Manager,55,Male,104584.54324684283
High School,29,Rural,Engineer,48,Male,71549.7678319231
High School,1,Suburban,Analyst,54,Male,51439.95511443989
High School,2,Rural,Analyst,57,Male,43069.23604206557
Master,8,Rural,Analyst,29,Male,96310.92421488398
High School,28,Rural,Engineer,63,Male,69651.92836465492
Master,13,Rural,Analyst,20,Female,109045.54421472047
Master,11,Rural,Analyst,40,Female,98073.3404604569
Master,20,Suburban,Director,58,Female,134296.60379842255
Master,17,Rural,Analyst,34,Male,109899.04941785493
Bachelor,8,Rural,Analyst,58,Male,66322.76809083836
PhD,22,Suburban,Analyst,39,Male,118568.0745691156
Master,19,Suburban,Manager,45,Male,125010.60844357472
PhD,25,Urban,Analyst,24,Female,130963.09069934256
PhD,6,Rural,Manager,25,Male,141610.9855689575
High School,8,Suburban,Manager,22,Male,69004.311396766
PhD,13,Urban,Analyst,59,Male,144650.49406790442
PhD,1,Suburban,Director,60,Male,137005.64203097162
Master,1,Urban,Director,27,Female,124251.98714687066
PhD,18,Suburban,Director,24,Male,148741.8413363613
High School,6,Suburban,Manager,60,Male,57188.999139170424
Bachelor,7,Rural,Manager,25,Female,82060.7329291408
High School,11,Urban,Analyst,31,Male,66858.43105342452
Bachelor,4,Rural,Director,24,Female,97276.2317923478
Master,17,Suburban,Analyst,44,Male,113966.50654336264
Master,17,Suburban,Engineer,49,Male,117978.59877870268
Bachelor,16,Urban,Director,42,Male,124024.38910184392
PhD,12,Urban,Manager,59,Male,151730.80004149664
Master,25,Suburban,Director,24,Male,149751.38410578627
Bachelor,5,Rural,Engineer,47,Male,63923.5309909897
Master,9,Urban,Director,31,Male,120309.22414000088
Master,6,Suburban,Analyst,63,Male,85629.70656151309
PhD,11,Rural,Director,30,Female,121504.28212370236
Bachelor,3,Suburban,Manager,39,Female,103068.00728949445
Master,11,Suburban,Director,62,Male,126284.0844463959
Bachelor,18,Rural,Director,50,Female,120075.52584159435
High School,20,Urban,Engineer,60,Female,72589.44466595871
High School,18,Urban,Analyst,42,Male,73807.19890433867
PhD,20,Rural,Analyst,24,Male,128295.22442169535
Master,22,Urban,Manager,23,Female,124379.61040159572
Bachelor,14,Rural,Engineer,59,Male,81786.09501652936
Master,1,Urban,Director,44,Female,121242.14310140724
High School,8,Urban,Director,57,Female,83849.98328890376
Master,19,Suburban,Manager,39,Male,111971.11675483995
High School,25,Urban,Director,59,Male,117061.2462176217
Master,16,Urban,Director,47,Male,130152.29063582532
PhD,3,Urban,Engineer,50,Female,118237.75563685333
High School,3,Rural,Manager,23,Female,53944.64204780505
Bachelor,26,Rural,Analyst,43,Female,92346.87262338235
High School,28,Suburban,Engineer,49,Male,81007.19945085408
Master,7,Suburban,Analyst,29,Female,84891.4436205641
Bachelor,8,Urban,Manager,48,Female,92589.53218080327
High School,27,Suburban,Engineer,57,Male,78182.64912759434
Master,29,Rural,Analyst,21,Male,102870.94105128384
PhD,25,Suburban,Director,24,Female,138815.49365359705
PhD,19,Urban,Director,36,Female,142981.59047925484
High School,28,Urban,Engineer,58,Male,80135.31584928774
PhD,18,Urban,Director,42,Female,155963.8498112061
Master,17,Rural,Manager,31,Male,112862.375062807
Master,21,Urban,Director,23,Male,112893.31945170804
PhD,1,Rural,Analyst,42,Female,113050.81101494467
PhD,27,Suburban,Engineer,43,Female,136061.38084617312
PhD,14,Rural,Manager,21,Male,139809.32588853835
Master,20,Suburban,Engineer,21,Female,107442.49239559734
Master,19,Rural,Analyst,60,Female,99560.39990960508
Master,13,Urban,Manager,61,Female,130591.56675108234
Master,8,Rural,Director,58,Female,107652.04715249412
High School,22,Suburban,Manager,60,Female,81946.59278102114
High School,22,Rural,Engineer,64,Male,54377.71102459122
Master,4,Suburban,Manager,41,Female,112126.33963013986
Bachelor,1,Rural,Director,43,Female,72841.11155482176
High School,23,Rural,Analyst,61,Male,70249.48049064373
PhD,16,Rural,Director,28,Female,149731.74718252578
Bachelor,10,Suburban,Manager,27,Male,91038.14555250182
PhD,21,Suburban,Director,54,Male,150737.56659227243
Bachelor,10,Suburban,Analyst,54,Female,72165.00736013523
High School,20,Suburban,Director,38,Female,107266.6397378748
Bachelor,4,Urban,Director,33,Female,105649.12729254698
Bachelor,6,Suburban,Analyst,30,Female,73195.52218532546
Master,14,Suburban,Engineer,41,Male,99794.6183690856
High School,11,Urban,Engineer,56,Female,74209.99466184892
Bachelor,24,Rural,Manager,51,Male,111908.61502158752
Master,3,Suburban,Analyst,50,Male,108753.06877732204
Bachelor,14,Urban,Analyst,47,Male,93221.84607969092
Bachelor,24,Urban,Analyst,52,Male,113515.28016974566
Bachelor,6,Urban,Analyst,50,Male,57463.59600309587
PhD,16,Rural,Analyst,29,Female,111979.28028586916
Bachelor,19,Urban,Director,49,Female,122680.03659280542
High School,2,Suburban,Analyst,36,Male,47957.05579370506
Master,9,Urban,Engineer,57,Male,100278.41602229176
PhD,19,Rural,Director,57,Male,161785.29188984665
Master,18,Suburban,Director,59,Female,126191.92895199227
PhD,13,Suburban,Analyst,36,Male,115965.9990780719
PhD,6,Urban,Analyst,27,Male,103860.8461044971
PhD,7,Rural,Analyst,28,Female,118799.44006115956
Master,18,Suburban,Director,48,Female,137723.27886185737
High School,23,Suburban,Director,39,Male,89616.88844301298
High School,25,Urban,Director,41,Female,71077.00006577624
Bachelor,5,Urban,Manager,63,Female,103915.15319989243
Master,11,Rural,Analyst,54,Male,102655.89286954633
High School,5,Rural,Director,43,Female,83366.3598715775
High School,14,Urban,Analyst,62,Female,68468.6166055852
PhD,14,Suburban,Analyst,37,Female,129311.31373329196
Master,24,Suburban,Analyst,27,Female,115023.3584683422
High School,8,Rural,Director,22,Male,76493.46361979107
Bachelor,10,Rural,Analyst,63,Male,77974.05660316872
PhD,23,Suburban,Analyst,49,Female,145740.44537947085
Bachelor,21,Urban,Director,26,Male,126769.34597053225
High School,3,Urban,Analyst,60,Male,69242.2173444676
High School,19,Urban,Manager,62,Male,95726.36718568094
Master,27,Urban,Director,48,Female,139904.78989292
High School,28,Suburban,Analyst,27,Female,83642.10640394817
Master,8,Rural,Analyst,62,Male,94399.8846738686
High School,25,Suburban,Manager,63,Male,84322.32758479813
Bachelor,4,Rural,Engineer,53,Female,65467.61515724689
Bachelor,17,Rural,Engineer,60,Male,78243.1817277945
Bachelor,7,Rural,Director,64,Female,112932.73615950027
Bachelor,20,Rural,Analyst,34,Male,86048.11608072282
Bachelor,19,Suburban,Director,51,Female,108675.6234100105
Master,18,Suburban,Manager,61,Male,107141.47424819975
Master,29,Suburban,Engineer,54,Male,116661.83273973822
Bachelor,16,Suburban,Director,25,Female,130098.90561909012
Bachelor,12,Suburban,Engineer,31,Male,71973.49636490211
PhD,19,Urban,Engineer,62,Female,120476.57343304963
PhD,13,Rural,Director,50,Male,151123.33589341832
Master,9,Rural,Manager,25,Male,100622.23740614792
PhD,8,Urban,Director,26,Female,137920.901967161
High School,28,Urban,Manager,41,Female,100452.5585344342
PhD,27,Suburban,Engineer,61,Male,146282.9226069381
PhD,14,Urban,Manager,34,Male,147979.983232951
PhD,29,Urban,Engineer,28,Female,163509.51814032128
Master,19,Urban,Engineer,46,Male,129826.72282091064
Master,14,Urban,Manager,21,Male,122441.02014234295
PhD,14,Suburban,Director,37,Female,144948.93710538538
PhD,18,Rural,Analyst,56,Female,138709.6470867579
Master,20,Suburban,Director,21,Male,129469.38088931618
