Education,Experience,Location,Job_Title,Age,Gender,Salary
High School,26,Rural,Director,63,Male,103386.0702899282
Bachelor,25,Urban,Analyst,48,Male,89948.55569043328
PhD,25,Rural,Analyst,25,Male,128855.129544108
PhD,24,Rural,Manager,20,Female,132288.0966456586
High School,20,Urban,Engineer,27,Female,83749.68724703127
Master,10,Rural,Analyst,38,Male,78855.39027300103
PhD,21,Rural,Director,61,Male,159261.25708431192
Master,24,Suburban,Manager,41,Female,125825.37782839929
Bachelor,5,Suburban,Engineer,52,Female,81241.18287733827
High School,16,Suburban,Director,61,Male,79684.60757979851
PhD,5,Suburban,Analyst,26,Female,115954.11875826868
High School,26,Urban,Manager,58,Male,104528.89097268877
Master,19,Rural,Manager,42,Female,118085.62268750487
PhD,16,Suburban,Director,48,Male,151020.75021919367
Bachelor,17,Suburban,Analyst,62,Female,99639.30202363194
PhD,22,Suburban,Director,50,Male,148468.7137513836
High School,15,Rural,Manager,24,Male,70640.75877047912
PhD,3,Rural,Director,27,Male,132166.73714753325
High School,3,Suburban,Engineer,25,Female,54908.3148561852
Bachelor,7,Rural,Analyst,33,Male,70251.76628382233
Bachelor,15,Rural,Director,33,Male,97052.93882402783
PhD,15,Urban,Manager,27,Female,133614.32129684524
PhD,22,Suburban,Manager,51,Male,153466.1561391526
Master,14,Suburban,Analyst,47,Female,103680.8892436586
High School,4,Suburban,Analyst,37,Male,60693.924713925415
High School,11,Rural,Analyst,44,Female,54012.80153691232
Master,19,Rural,Analyst,26,Male,100038.7680224855
Bachelor,15,Urban,Analyst,54,Female,84080.91886527606
Bachelor,10,Rural,Analyst,33,Female,62267.66824168883
Master,23,Urban,Director,31,Male,151883.94109572403
Master,27,Suburban,Engineer,22,Female,113064.54601700298
High School,12,Rural,Director,57,Male,93416.47945476102
High School,20,Urban,Manager,58,Male,93636.97892713363
PhD,3,Rural,Engineer,27,Male,104742.20636748728
Master,8,Urban,Manager,62,Male,120890.05892395366
PhD,7,Urban,Director,60,Male,131042.22388558686
Bachelor,23,Suburban,Manager,35,Female,101747.54077442826
PhD,6,Suburban,Director,37,Female,143721.10643262288
Bachelor,16,Urban,Engineer,35,Male,94731.44127037386
High School,28,Suburban,Director,49,Male,93537.79379643842
High School,7,Suburban,Engineer,36,Male,65062.72488305184
Bachelor,6,Rural,Director,59,Female,88578.47838349616
PhD,24,Suburban,Director,23,Female,153930.9338516317
Master,5,Suburban,Analyst,27,Male,92914.00677775544
Master,12,Rural,Engineer,60,Male,94835.55842413523
PhD,27,Suburban,Manager,46,Female,142195.40754437845
Master,13,Urban,Engineer,25,Male,116630.8466523854
Bachelor,6,Suburban,Engineer,36,Female,89173.97096368166
Master,20,Suburban,Engineer,60,Male,104004.68407030516
Bachelor,9,Urban,Engineer,27,Male,95126.80785391098
High School,4,Suburban,Director,56,Male,80360.31217374376
Master,8,Suburban,Director,53,Male,141267.28470660865
Bachelor,15,Urban,Manager,27,Female,114388.31726393776
High School,18,Rural,Engineer,28,Female,57067.7381754028
High School,4,Urban,Engineer,57,Male,68887.85742643471
Bachelor,12,Suburban,Manager,20,Male,95621.00301101292
Master,23,Rural,Analyst,35,Male,118399.91784706688
High School,17,Suburban,Manager,60,Female,78315.63656677089
PhD,18,Suburban,Analyst,23,Female,123464.46899091224
Bachelor,26,Urban,Director,53,Male,117763.86723541604
Master,16,Urban,Manager,23,Female,112053.20358407324
High School,3,Rural,Director,44,Female,66921.32051610532
High School,23,Urban,Director,40,Male,98276.76760253044
Master,8,Rural,Manager,28,Female,110377.79633452596
High School,8,Suburban,Analyst,45,Female,48005.699834384795
High School,25,Suburban,Director,61,Female,98697.76833533274
Master,27,Urban,Director,60,Male,129233.0898107075
PhD,6,Rural,Engineer,43,Female,119140.33843647146
Master,2,Suburban,Manager,39,Female,104264.4422209217
Bachelor,2,Suburban,Director,32,Female,88234.68148560214
High School,16,Rural,Manager,42,Female,68129.67262737315
Bachelor,29,Suburban,Director,20,Female,125294.92835941388
Master,24,Urban,Director,24,Male,143126.71812942385
PhD,5,Rural,Manager,52,Female,133712.64269614525
Master,4,Rural,Manager,61,Male,109922.0568164404
Bachelor,3,Suburban,Analyst,61,Female,66216.7016212603
Master,28,Suburban,Analyst,54,Male,122693.7222533875
High School,29,Urban,Manager,33,Female,83898.00356021858
Master,3,Rural,Analyst,59,Female,86684.29088738072
High School,2,Urban,Manager,49,Female,72915.21946778877
PhD,23,Rural,Manager,41,Male,147944.4544306179
Bachelor,15,Urban,Manager,21,Male,111440.01698894912
Master,25,Suburban,Engineer,57,Male,119815.70949806632
Bachelor,20,Urban,Engineer,25,Female,95945.27542859328
High School,9,Urban,Analyst,42,Male,73396.1439350745
Master,2,Rural,Director,26,Female,99694.53954354613
High School,1,Rural,Engineer,28,Female,37185.88349317717
Bachelor,18,Suburban,Analyst,61,Female,96812.24946453932
Master,5,Rural,Engineer,59,Male,92867.8476312818
High School,22,Urban,Engineer,57,Female,71668.35224708632
High School,4,Suburban,Analyst,32,Male,59999.86743162342
PhD,23,Rural,Director,35,Female,153914.36833191148
High School,15,Rural,Engineer,30,Female,73305.17369042597
Master,18,Rural,Analyst,53,Male,112455.38789447106
Master,20,Rural,Manager,23,Female,116720.81943689582
Master,7,Suburban,Director,62,Male,133794.19981202646
PhD,15,Urban,Engineer,31,Male,122362.72378123792
Master,27,Suburban,Analyst,25,Male,127723.00647288092
High School,27,Urban,Engineer,36,Male,80739.41728110176
High School,17,Rural,Manager,39,Female,69022.97240059583
Bachelor,14,Suburban,Engineer,43,Female,87266.497916228
Bachelor,7,Urban,Director,64,Female,109739.5757717404
High School,27,Urban,Director,42,Male,105298.77695248832
Bachelor,22,Rural,Engineer,37,Male,120814.60713163964
High School,27,Suburban,Engineer,50,Female,79976.18786280928
Bachelor,15,Urban,Analyst,50,Female,73797.25897577438
Bachelor,23,Urban,Director,34,Female,127909.7105518198
PhD,8,Urban,Analyst,25,Female,118509.62858553034
Bachelor,4,Rural,Analyst,36,Male,49941.82125200072
High School,17,Suburban,Manager,57,Female,89977.94942262843
Master,9,Suburban,Analyst,38,Female,101144.06013260984
PhD,28,Rural,Engineer,42,Male,145613.91167496107
PhD,24,Suburban,Analyst,37,Male,127740.56885031542
Master,16,Suburban,Analyst,48,Female,88637.58195699849
Master,20,Rural,Engineer,21,Male,106062.66288305612
High School,9,Urban,Analyst,49,Male,49515.33136752012
Bachelor,10,Rural,Analyst,64,Male,79316.33852811223
Bachelor,3,Urban,Analyst,23,Male,74649.08699648213
Bachelor,19,Rural,Engineer,56,Male,71859.43407279214
Master,24,Rural,Analyst,24,Female,105559.54371150376
Master,5,Urban,Manager,23,Female,114713.16762502409
Bachelor,6,Suburban,Director,47,Male,88404.03831200278
High School,5,Rural,Manager,24,Female,66592.3420122828
Master,5,Urban,Analyst,42,Male,104958.5066896543
PhD,3,Suburban,Analyst,51,Male,109204.4587935414
Master,11,Urban,Analyst,30,Female,102126.8656254315
Bachelor,17,Suburban,Engineer,51,Female,91498.92541209709
Master,17,Suburban,Director,60,Male,128637.2614091442
PhD,18,Urban,Analyst,25,Male,137478.69664111253
PhD,20,Suburban,Director,53,Female,193016.60214967115
Bachelor,24,Urban,Analyst,54,Male,92241.08305998985
PhD,14,Rural,Manager,34,Male,120698.05587675504
PhD,25,Suburban,Engineer,57,Male,150114.47891218946
Master,8,Rural,Manager,60,Female,100474.177156632
PhD,5,Urban,Director,35,Female,146305.2402586494
PhD,17,Rural,Analyst,57,Male,129845.55334320996
PhD,6,Suburban,Director,52,Female,126908.15218443835
PhD,17,Suburban,Manager,52,Female,157190.03279936145
Bachelor,20,Urban,Engineer,22,Male,81404.76394373074
Master,22,Suburban,Engineer,52,Male,150065.74349110562
Master,24,Suburban,Engineer,36,Female,127318.7778505968
Master,5,Urban,Manager,37,Male,111449.1687754408
Master,11,Urban,Analyst,21,Male,100285.215849479
Master,7,Suburban,Analyst,56,Male,107847.47576637704
Bachelor,24,Urban,Engineer,48,Male,81377.56364756194
High School,5,Rural,Manager,39,Male,51736.215074918386
Master,11,Rural,Analyst,47,Male,91867.25194663962
PhD,11,Rural,Manager,33,Female,113916.79208132316
PhD,22,Urban,Director,38,Male,149433.19871831877
Bachelor,21,Rural,Analyst,36,Female,97899.78049795829
Master,4,Rural,Analyst,62,Female,96811.67266182243
Bachelor,24,Urban,Director,33,Male,117780.71841761054
PhD,8,Suburban,Engineer,34,Male,107515.28949271538
High School,1,Rural,Director,58,Female,68583.46837368779
High School,24,Rural,Analyst,41,Male,90815.98628938774
Master,23,Suburban,Manager,21,Male,149537.1950783965
Master,5,Urban,Analyst,42,Male,96929.31513158564
Master,8,Suburban,Director,54,Female,123441.29098796276
High School,26,Rural,Manager,33,Female,103388.57208010757
PhD,26,Urban,Manager,45,Female,148185.1534103814
High School,21,Suburban,Engineer,63,Female,83938.8036230838
PhD,18,Urban,Engineer,62,Male,134838.58424250284
High School,17,Rural,Manager,37,Female,68436.97173004749
PhD,2,Suburban,Engineer,24,Female,110423.41996175224
Master,8,Suburban,Manager,58,Female,110037.68345601793
PhD,1,Urban,Manager,23,Female,136686.10832710887
Master,15,Suburban,Manager,31,Female,125668.69372441072
Bachelor,9,Rural,Manager,56,Female,88723.01541166398
Bachelor,20,Suburban,Manager,49,Female,99167.88705184014
High School,17,Suburban,Director,45,Female,104598.75331517016
Bachelor,24,Urban,Manager,27,Female,114068.61198539498
PhD,2,Suburban,Engineer,25,Male,118519.00529114524
PhD,26,Urban,Manager,37,Female,154075.95792204092
Bachelor,20,Suburban,Analyst,40,Male,73673.05233849108
Bachelor,12,Urban,Analyst,29,Female,86338.84774046796
Master,10,Rural,Analyst,44,Female,94081.88969865548
Bachelor,22,Suburban,Director,64,Female,101769.99863820703
Bachelor,25,Rural,Analyst,20,Male,77191.93285851003
High School,9,Suburban,Manager,61,Male,56873.70677317545
High School,23,Urban,Engineer,61,Male,95229.6476192084
High School,18,Urban,Analyst,35,Female,67235.45347043018
PhD,17,Rural,Engineer,36,Female,110142.71949532448
Master,3,Rural,Manager,54,Female,106062.03396303709
Bachelor,12,Rural,Director,53,Male,97105.1758124497
Bachelor,22,Urban,Manager,62,Male,95662.03982347203
Bachelor,26,Suburban,Engineer,33,Male,90992.3950975125
Bachelor,21,Suburban,Engineer,60,Female,84814.7412741277
High School,4,Suburban,Director,30,Male,76322.52202468809
Bachelor,14,Suburban,Manager,34,Male,109825.91370470892
High School,20,Urban,Engineer,28,Female,95703.03911911232
Bachelor,7,Rural,Engineer,49,Male,73742.23675414972
High School,4,Suburban,Director,44,Male,80239.5962687166
Master,4,Rural,Director,35,Female,107697.74252369396
Master,28,Urban,Director,43,Female,146975.62965786716
High School,18,Rural,Analyst,64,Male,71869.62566158465
Bachelor,17,Rural,Manager,54,Female,86829.83798375187
High School,13,Suburban,Analyst,51,Female,48438.3555127691
High School,21,Suburban,Analyst,47,Female,70661.73033427619
High School,13,Rural,Analyst,39,Male,69760.60276453797
High School,21,Urban,Analyst,44,Female,79002.843236208
Bachelor,18,Urban,Director,54,Female,121923.74327659124
Master,18,Rural,Director,53,Male,142528.77765517056
Bachelor,15,Suburban,Engineer,63,Female,88064.62888988973
High School,24,Urban,Engineer,51,Female,82436.96531661357
PhD,6,Suburban,Engineer,34,Male,111461.95579727436
Master,12,Rural,Director,21,Male,121087.32980273824
PhD,29,Urban,Engineer,63,Female,145659.3705163663
Bachelor,27,Suburban,Engineer,49,Female,100641.90157356314
Bachelor,26,Suburban,Engineer,52,Female,92638.9439562857
Bachelor,23,Urban,Engineer,22,Female,95804.2614408205
Master,8,Suburban,Engineer,52,Male,114297.23358996994
Bachelor,22,Urban,Analyst,27,Female,103772.45916416372
Master,4,Suburban,Director,28,Male,140235.26422980177
High School,11,Rural,Manager,28,Female,66157.89578261097
Master,20,Urban,Analyst,20,Male,100807.6591918533
Bachelor,1,Urban,Engineer,45,Male,102106.0853358802
PhD,15,Suburban,Manager,56,Female,146462.17774895177
PhD,13,Rural,Analyst,63,Male,115986.15456717256
High School,27,Suburban,Director,31,Male,92450.57242382762
Bachelor,3,Rural,Analyst,45,Female,62423.1253997449
High School,23,Urban,Analyst,41,Female,90520.01982753033
Master,5,Urban,Director,48,Male,124184.51486659472
Master,24,Urban,Analyst,27,Female,128472.24271293728
Master,13,Urban,Director,24,Male,109867.98066302932
Master,26,Urban,Engineer,41,Female,124104.54331743425
High School,17,Rural,Manager,53,Male,92184.82925779722
Bachelor,20,Rural,Director,55,Female,102152.15270939372
Bachelor,11,Suburban,Director,21,Female,100586.4041156878
PhD,12,Urban,Engineer,23,Female,113759.20447919633
Master,17,Rural,Engineer,44,Male,105366.0107999351
Master,24,Urban,Manager,29,Male,154081.49279376958
PhD,21,Suburban,Manager,60,Male,146451.13003812966
Master,3,Urban,Director,25,Female,137130.85536865267
PhD,9,Urban,Analyst,56,Male,126080.69529629964
PhD,25,Urban,Analyst,26,Female,132157.78617465615
Bachelor,16,Rural,Analyst,46,Male,87046.82030245801
High School,19,Rural,Manager,50,Male,90389.73810666264
Bachelor,15,Suburban,Director,60,Female,103801.95225172662
PhD,26,Suburban,Engineer,49,Female,145122.7227166107
PhD,11,Suburban,Engineer,60,Female,141466.7183821242
High School,17,Rural,Engineer,54,Female,77809.46669854887
Bachelor,13,Suburban,Engineer,37,Female,94955.18311496305
High School,13,Suburban,Engineer,63,Male,69728.24675440353
Bachelor,20,Rural,Analyst,64,Male,89961.7941228838
Master,2,Urban,Engineer,64,Male,103270.2395332119
Bachelor,14,Rural,Analyst,21,Male,68510.99628537285
Master,6,Urban,Analyst,56,Male,119014.49208620156
Bachelor,15,Rural,Analyst,43,Female,79930.62558794077
High School,16,Urban,Engineer,39,Male,85079.04081637684
PhD,12,Suburban,Analyst,47,Female,100369.02351603874
PhD,2,Urban,Engineer,45,Male,126043.14343328992
Bachelor,21,Urban,Engineer,25,Male,120783.72699879664
High School,12,Urban,Manager,62,Female,66811.3134084247
Bachelor,9,Suburban,Manager,43,Male,87089.80186824632
High School,13,Urban,Engineer,22,Female,62000.29192430693
Bachelor,1,Suburban,Engineer,36,Male,68635.08828494251
Master,2,Rural,Analyst,44,Male,97697.92391858966
Bachelor,10,Rural,Analyst,64,Female,65598.43408127593
PhD,19,Urban,Manager,61,Female,160061.91472851046
High School,17,Rural,Engineer,63,Female,70097.03589371659
Master,29,Suburban,Director,34,Male,132909.27268205624
Bachelor,5,Suburban,Analyst,37,Male,67608.30799609171
PhD,17,Suburban,Analyst,46,Male,129937.74310765752
Bachelor,28,Urban,Director,41,Female,139740.61853808298
PhD,19,Suburban,Analyst,47,Male,131547.15536693783
High School,13,Urban,Manager,36,Male,88355.10569739103
Bachelor,10,Rural,Engineer,27,Male,74939.23443921345
Master,2,Urban,Engineer,20,Male,98065.50878814336
PhD,2,Rural,Analyst,20,Female,96967.34243096111
Bachelor,13,Suburban,Engineer,41,Male,82088.40331077647
PhD,15,Urban,Analyst,49,Female,112237.94975989968
Bachelor,25,Suburban,Director,31,Male,121066.52294503032
High School,12,Urban,Manager,21,Female,92294.08918230917
Master,11,Suburban,Analyst,44,Male,87666.57721109298
Master,26,Urban,Manager,43,Male,138082.33170711008
High School,18,Rural,Director,21,Female,88647.85739293914
PhD,16,Suburban,Engineer,27,Female,140823.26983800298
High School,4,Rural,Director,27,Female,77741.37997801583
Master,7,Suburban,Director,44,Female,126139.13670110232
PhD,24,Suburban,Director,24,Male,169726.36047258874
Master,7,Rural,Director,40,Male,106019.0203963744
Bachelor,2,Rural,Director,41,Male,94046.2089341965
Bachelor,28,Urban,Director,54,Male,129926.16110034611
Master,23,Urban,Engineer,56,Male,107272.03547451828
Bachelor,1,Suburban,Manager,29,Male,82767.113637445
High School,24,Urban,Manager,49,Male,110043.26319415642
High School,24,Rural,Director,26,Male,104313.19104356626
Bachelor,20,Rural,Engineer,60,Female,82628.14830429087
Master,13,Rural,Manager,59,Male,107463.57610068769
Bachelor,16,Urban,Analyst,31,Male,90884.44479775698
Master,25,Rural,Analyst,48,Male,101638.69873172011
High School,18,Suburban,Director,61,Male,93896.19857839252
Master,24,Rural,Analyst,48,Male,110506.98143787218
High School,21,Suburban,Manager,54,Female,105457.61391306328
High School,29,Suburban,Engineer,53,Female,100127.28594752088
PhD,23,Rural,Analyst,37,Male,134639.6507552622
Master,4,Urban,Engineer,57,Female,104059.38814386504
High School,23,Rural,Manager,21,Female,87280.28107021368
High School,1,Rural,Analyst,46,Male,33510.51066927126
High School,24,Urban,Engineer,30,Female,74468.2050198493
Master,26,Urban,Manager,58,Male,138131.76263766392
High School,19,Suburban,Director,24,Female,88958.67919836262
Bachelor,6,Suburban,Director,57,Male,105050.80273184486
Master,29,Rural,Manager,38,Female,106944.94644980178
Master,23,Rural,Analyst,35,Female,103825.70543658012
High School,11,Suburban,Engineer,44,Female,67123.0768842727
Master,3,Urban,Engineer,50,Male,94545.58657932431
PhD,25,Suburban,Analyst,43,Female,131524.15487084555
PhD,2,Rural,Director,44,Male,147141.82131007797
PhD,21,Urban,Director,20,Female,157152.82147906447
High School,2,Rural,Director,62,Female,86467.92073920323
Master,11,Suburban,Director,30,Female,118484.31009869062
Master,13,Rural,Director,38,Female,133122.60510065337
PhD,27,Rural,Manager,58,Female,154429.50976608333
Bachelor,10,Suburban,Engineer,46,Female,72798.82843068447
PhD,11,Suburban,Director,59,Male,142591.2558943053
High School,6,Suburban,Director,53,Male,88085.19940828005
Bachelor,6,Rural,Engineer,40,Female,77750.67458837443
High School,8,Rural,Director,49,Female,63633.59335315418
Master,9,Urban,Engineer,40,Female,113727.8965602193
PhD,28,Suburban,Manager,54,Male,149580.17722315947
PhD,16,Rural,Director,59,Male,134560.1930040126
PhD,9,Urban,Director,58,Female,156315.92505022138
Master,13,Rural,Manager,60,Female,109383.27542645649
High School,14,Suburban,Analyst,55,Male,59417.70846297518
High School,19,Rural,Director,31,Male,85187.10130191705
High School,15,Urban,Director,23,Male,85339.3681495593
PhD,1,Rural,Engineer,24,Male,104029.26927639818
Master,4,Suburban,Analyst,51,Female,92260.70069694844
Bachelor,7,Rural,Director,44,Male,123627.26713718078
Bachelor,5,Urban,Engineer,24,Female,81466.33111284656
PhD,7,Urban,Analyst,25,Male,106214.69814058888
Master,17,Rural,Manager,39,Male,123413.38144972228
Bachelor,14,Rural,Analyst,53,Female,67553.07368757403
PhD,4,Rural,Manager,43,Male,124972.50876977788
PhD,12,Rural,Manager,52,Female,152791.76664795037
High School,1,Suburban,Analyst,31,Male,54316.90345545149
High School,22,Rural,Manager,41,Male,83586.51930066243
Master,18,Urban,Analyst,49,Female,120117.85268097043
Master,28,Suburban,Engineer,57,Male,130006.80109093692
Master,4,Suburban,Analyst,24,Male,97173.28953702336
Master,25,Rural,Director,50,Female,127400.65732182092
Bachelor,4,Suburban,Engineer,55,Male,76490.7760321884
Master,4,Suburban,Analyst,20,Female,95086.48203694854
Master,16,Suburban,Director,29,Male,130573.98071508964
High School,13,Suburban,Engineer,20,Female,55573.930615477104
Master,21,Suburban,Engineer,59,Male,143997.07649086916
Bachelor,20,Rural,Engineer,63,Female,74996.46723835671
Bachelor,12,Rural,Director,52,Male,97984.29324487085
PhD,5,Urban,Engineer,20,Female,133439.88913357895
PhD,20,Rural,Manager,31,Female,141637.70446304613
Bachelor,17,Suburban,Analyst,25,Female,91986.54645648548
Master,14,Urban,Analyst,38,Male,94698.64792576068
Master,5,Suburban,Manager,22,Female,116663.54542250188
Master,13,Suburban,Analyst,60,Male,72935.01284992674
Master,27,Suburban,Engineer,40,Female,131076.58624946763
High School,15,Suburban,Analyst,34,Male,62136.81719189974
PhD,21,Suburban,Manager,63,Female,146600.09066957125
Bachelor,16,Urban,Manager,45,Male,114474.08355481534
High School,6,Rural,Engineer,26,Female,67767.86962383863
High School,15,Urban,Analyst,21,Female,73688.88707585666
Bachelor,4,Rural,Manager,44,Male,96459.46256831016
Master,12,Urban,Director,26,Male,127497.1816518687
PhD,8,Urban,Analyst,35,Male,115316.16680702324
Bachelor,1,Urban,Engineer,32,Male,89220.76356797137
PhD,19,Suburban,Analyst,62,Male,106145.00551210355
Bachelor,20,Urban,Engineer,53,Male,101611.06322241678
Master,19,Suburban,Analyst,39,Female,106561.96202860876
Master,3,Suburban,Director,55,Male,128222.10354585823
Bachelor,19,Rural,Analyst,64,Female,70051.59807165357
High School,27,Rural,Engineer,60,Female,72362.95552866027
Master,11,Rural,Analyst,49,Male,95422.43441621288
Bachelor,29,Rural,Engineer,54,Male,107961.67193749268
PhD,5,Urban,Manager,56,Female,114507.68086755334
Master,12,Suburban,Analyst,41,Male,96130.97354819998
PhD,29,Suburban,Director,21,Female,157137.80486078965
Bachelor,8,Urban,Engineer,22,Male,85653.0564567708
Bachelor,21,Rural,Manager,49,Male,117683.11059634323
PhD,3,Rural,Engineer,46,Male,106378.0855646952
PhD,25,Urban,Director,39,Male,160064.68149504965
High School,18,Urban,Analyst,58,Male,80837.44493674728
PhD,8,Suburban,Director,26,Male,138197.12890521623
Master,3,Rural,Manager,32,Female,99019.38519034335
High School,6,Rural,Manager,46,Male,71769.55893398654
PhD,8,Urban,Manager,47,Male,127924.45124217024
Bachelor,18,Rural,Analyst,35,Male,70214.86159479314
Master,19,Suburban,Analyst,62,Male,121353.82392009476
Master,27,Urban,Engineer,27,Male,129791.9649251421
Master,29,Urban,Engineer,27,Male,141926.4602101247
PhD,28,Rural,Director,29,Female,156548.29755806783
PhD,17,Urban,Engineer,37,Female,119682.68653532074
High School,6,Urban,Director,31,Female,88826.7844916477
Master,3,Rural,Engineer,62,Female,73861.99295330019
Bachelor,3,Urban,Director,35,Male,94632.28957347012
Bachelor,26,Urban,Engineer,42,Male,104215.43185102736
High School,27,Suburban,Engineer,21,Female,66723.68051821226
Bachelor,7,Rural,Engineer,22,Male,62891.76686619663
Master,2,Rural,Engineer,26,Female,107445.34365931292
High School,1,Suburban,Engineer,39,Male,52716.988932775275
High School,5,Urban,Director,22,Male,91289.9958745682
